,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
717,2012-11-07,102.32641652994212,2.1,2.01,-3.727470178734657,30029200.0,0.0,1.0,2.07,2.1,2.01,2.01,30029200.0
718,2012-11-08,102.28538912508878,2.06,1.96,-3.758496589516433,35841500.0,0.0,1.0,2.03,2.06,1.96,1.98,35841500.0
719,2012-11-09,102.25436172023544,2.07,1.97,-3.7095230002982094,39582000.0,0.0,1.0,2.0,2.07,1.97,2.03,39582000.0
720,2012-11-12,102.29333431538208,2.06,1.99,-3.750549411079985,15959100.0,0.0,1.0,2.04,2.06,1.99,1.99,15959100.0
721,2012-11-13,102.23230691052873,2.35,1.97,-3.6515758218617616,60092100.0,0.0,1.0,1.98,2.35,1.97,2.09,60092100.0
722,2012-11-14,102.29127950567538,2.05,1.92,-3.812602232643538,40052600.0,0.0,1.0,2.04,2.05,1.92,1.93,40052600.0
723,2012-11-15,102.18025210082203,1.93,1.86,-3.8736286434253135,20270000.0,0.0,1.0,1.93,1.93,1.86,1.87,20270000.0
724,2012-11-16,102.11922469596868,1.9,1.81,-3.8846550542070895,23501300.0,0.0,1.0,1.87,1.9,1.81,1.86,23501300.0
725,2012-11-19,102.14819729111532,1.95,1.89,-3.825681464988866,18774000.0,0.0,1.0,1.9,1.95,1.89,1.92,18774000.0
726,2012-11-20,102.16716988626197,1.92,1.86,-3.866707875770642,11637300.0,0.0,1.0,1.92,1.92,1.86,1.88,11637300.0
727,2012-11-21,102.13614248140863,1.92,1.86,-3.877734286552418,7525400.0,0.0,1.0,1.89,1.92,1.86,1.87,7525400.0
728,2012-11-23,102.16511507655528,1.97,1.92,-3.798760697334194,8567500.0,0.0,1.0,1.92,1.97,1.92,1.95,8567500.0
729,2012-11-26,102.20408767170193,1.97,1.84,-3.8797871081159703,30192600.0,0.0,1.0,1.96,1.97,1.84,1.87,30192600.0
730,2012-11-27,102.11306026684858,1.89,1.85,-3.8708135188977466,22732800.0,0.0,1.0,1.87,1.89,1.85,1.88,22732800.0
731,2012-11-28,102.12203286199522,1.99,1.86,-3.7918399296795227,27471900.0,0.0,1.0,1.88,1.99,1.86,1.96,27471900.0
732,2012-11-29,102.25100545714187,2.12,2.01,-3.7128663404612987,42800100.0,0.0,1.0,2.01,2.12,2.01,2.04,42800100.0
